2024-08-19 09:13:09 WARN  ExecCommand:111 - 10.1.1
2024-08-19 09:13:09 WARN  ExecCommand:111 - ✨  Chrome debugging port: 9222
2024-08-19 09:13:14 INFO  PageStatUtils:237 - Starting ChromeDriver
2024-08-19 09:13:21 INFO  PageStatUtils:164 - GoogleLandingPage.report.json deleted existing file with same name
2024-08-19 09:13:22 INFO  ExecCommand:160 -  LH:ChromeLauncher Found existing Chrome already running using port 9222, using that
2024-08-19 09:13:23 INFO  ExecCommand:160 -  LH:status Connecting to browse
2024-08-19 09:13:23 INFO  ExecCommand:160 -  LH:status Navigating to about:blan
2024-08-19 09:13:23 INFO  ExecCommand:160 -  LH:status Benchmarking machin
2024-08-19 09:13:24 INFO  ExecCommand:160 -  LH:status Preparing target for navigation mod
2024-08-19 09:13:24 INFO  ExecCommand:160 -  LH:status Navigating to about:blan
2024-08-19 09:13:24 INFO  ExecCommand:160 -  LH:status Preparing target for navigatio
2024-08-19 09:13:24 INFO  ExecCommand:160 -  LH:status Cleaning origin dat
2024-08-19 09:13:24 INFO  ExecCommand:160 -  LH:status Cleaning browser cach
2024-08-19 09:13:24 INFO  ExecCommand:160 -  LH:status Preparing network condition
2024-08-19 09:13:24 INFO  ExecCommand:160 -  LH:status Navigating to https://www.google.com
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact DevtoolsLo
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact Trac
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact DevtoolsLo
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact Trac
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact Accessibilit
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact AnchorElement
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact ConsoleMessage
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact CSSUsag
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact Doctyp
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact DOMStat
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact EmbeddedConten
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact FontSiz
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact Input
2024-08-19 09:13:29 INFO  ExecCommand:160 -  LH:artifacts:getArtifact GlobalListener
